City,Latitude,Longitude,County,
Live Oak city,30.3,-82.98,Lee,
Lloyd,30.48,-84.02,Miami-Dade,
Lochmoor Waterway Estates,26.64,-81.91,Collier,
Lockhart,28.63,-81.44,Collier,
Longboat Key town,27.39,-82.64,Hardee,
Longwood city,28.7,-81.35,Broward,
Loughman,28.24,-81.57,Hardee,
Lower Grand Lagoon,30.14,-85.75,Palm Beach,
Loxahatchee Groves town,26.71,-80.28,Lake,
Lutz,28.14,-82.45,Suwannee,
Lynn Haven city,30.24,-85.64,Jefferson,
Macclenny city,30.28,-82.12,Lee,
Madeira Beach city,27.8,-82.79,Orange,
Madison city,30.47,-83.42,Manatee,
Maitland city,28.63,-81.37,Sarasota,
Malabar town,27.99,-80.58,Seminole,
Malone town,30.96,-85.16,Polk,
Manalapan town,26.56,-80.01,Bay,
Manasota Key,26.92,-82.35,Palm Beach,
Manatee Road,29.51,-82.92,Hillsborough,
Mango,27.99,-82.31,Bay,
Mangonia Park town,26.76,-80.08,Baker,
Marathon city,24.73,-81.04,Pinellas,
Marco Island city,25.93,-81.7,Madison,
Margate city,26.25,-80.21,Orange,
Marianna city,30.78,-85.24,Brevard,
Marineland town,29.66,-81.21,Jackson,
Mary Esther city,30.41,-86.66,Palm Beach,
Masaryktown,28.44,-82.46,Charlotte,
Mascotte city,28.61,-81.91,Levy,
Matlacha,26.63,-82.07,Hillsborough,
Matlacha Isles-Matlacha Shores,26.63,-82.06,Palm Beach,
Mayo town,30.05,-83.18,Monroe,
McGregor,26.56,-81.91,Collier,
McIntosh town,29.45,-82.22,Broward,
Meadow Oaks,28.35,-82.6,Jackson,
Meadow Woods,28.37,-81.35,Flagler,
Medley town,25.86,-80.35,St. Johns,
Medulla,27.96,-81.99,Okaloosa,
Melbourne Beach town,28.07,-80.56,Hernando,
Melbourne city,28.12,-80.65,Lake,
Melbourne Village town,28.09,-80.67,Lee,
Memphis,27.54,-82.56,Lee,
Merritt Island,28.31,-80.67,Lafayette,
Mexico Beach city,29.95,-85.41,Lee,
Miami Beach city,25.82,-80.14,Marion,
Miami city,25.78,-80.21,Pasco,
Miami Gardens city,25.94,-80.24,Orange,
Miami Lakes town,25.91,-80.32,Miami-Dade,
Miami Shores village,25.87,-80.18,Polk,
Miami Springs city,25.82,-80.29,Brevard,
Micanopy town,29.51,-82.28,Brevard,
Micco,27.87,-80.51,Brevard,
Middleburg,30.05,-81.9,Manatee,
Midway,30.41,-87.03,Brevard,
Midway,28.79,-81.23,Bay,
Midway city,30.5,-84.46,Miami-Dade,
Milton city,30.63,-87.05,Miami-Dade,
Mims,28.69,-80.85,Miami-Dade,
Minneola city,28.61,-81.73,Miami-Dade,
Miramar Beach,30.39,-86.34,Miami-Dade,
Miramar city,25.98,-80.34,Miami-Dade,
Molino,30.71,-87.32,Alachua,
Monticello city,30.54,-83.87,Brevard,
Montura,26.64,-81.09,Clay,
Montverde town,28.6,-81.68,Gadsden,
Moon Lake,28.3,-82.6,Seminole,
Moore Haven city,26.83,-81.1,Santa Rosa,
Morriston,29.28,-82.44,Santa Rosa,
Mount Carmel,30.99,-87.12,Brevard,
Mount Dora city,28.81,-81.63,Lake,
Mount Plymouth,28.8,-81.54,Broward,
Mulat,30.56,-87.13,Walton,
Mulberry city,27.9,-81.99,Escambia,
Munson,30.84,-86.89,Jefferson,
Myrtle Grove,30.42,-87.3,Hendry,
Naples city,26.15,-81.79,Lake,
Naples Manor,26.09,-81.73,Pasco,
Naples Park,26.26,-81.81,Glades,
Naranja,25.52,-80.42,Levy,
Nassau Village-Ratliff,30.51,-81.81,Santa Rosa,
Navarre Beach,30.38,-86.89,Lake,
Navarre,30.42,-86.89,Lake,
Neptune Beach city,30.32,-81.38,Santa Rosa,
New Port Richey city,28.25,-82.72,Polk,
New Port Richey East,28.26,-82.69,Santa Rosa,
New Smyrna Beach city,29.02,-80.96,Escambia,
Newberry city,29.63,-82.6,Collier,
Niceville city,30.53,-86.48,Collier,
Nobleton,28.65,-82.26,Collier,
Nocatee,30.09,-81.41,Miami-Dade,
Nokomis,27.12,-82.44,Nassau,
Noma town,30.98,-85.62,Santa Rosa,
North Bay Village city,25.85,-80.15,Santa Rosa,
North Brooksville,28.57,-82.37,Duval,
North DeLand,29.05,-81.3,Pasco,
North Fort Myers,26.72,-81.85,Pasco,
North Key Largo,25.26,-80.32,Volusia,
North Lauderdale city,26.21,-80.22,Alachua,
North Miami Beach city,25.93,-80.17,Okaloosa,
North Miami city,25.9,-80.17,Hernando,
North Palm Beach village,26.82,-80.06,Desoto,
North Port city,27.06,-82.2,Sarasota,
North Redington Beach town,27.82,-82.82,Holmes,
North River Shores,27.22,-80.27,Miami-Dade,
North Sarasota,27.37,-82.52,Hernando,
North Weeki Wachee,28.56,-82.55,Volusia,
Northdale,28.11,-82.53,Lee,
Oak Hill city,28.88,-80.83,Monroe,
Oak Ridge,28.47,-81.42,Broward,
Oakland Park city,26.18,-80.15,Miami-Dade,
Oakland town,28.55,-81.63,Miami-Dade,
Oakleaf Plantation,30.17,-81.83,Palm Beach,
Ocala city,29.18,-82.15,Sarasota,
Ocean Breeze Park town,27.24,-80.23,Pinellas,
Ocean City,30.44,-86.61,Martin,
Ocean Ridge town,26.53,-80.05,Sarasota,
Ocoee city,28.58,-81.53,Hernando,
Odessa,28.18,-82.55,Hillsborough,
Ojus,25.96,-80.16,Volusia,
Okahumpka,28.75,-81.9,Orange,
Okeechobee city,27.24,-80.83,Orange,
Oldsmar city,28.05,-82.67,Broward,
Olga,26.71,-81.7,Clay,
Olympia Heights,25.72,-80.34,Marion,
Ona,27.48,-81.91,Martin,
Opa-locka city,25.9,-80.26,Okaloosa,
Orange City city,28.93,-81.29,Palm Beach,
Orange Park town,30.17,-81.7,Orange,
Orangetree,26.29,-81.58,Pasco,
Orchid town,27.77,-80.42,Miami-Dade,
Oriole Beach,30.37,-87.1,Lake,
Orlando city,28.48,-81.35,Okeechobee,
Orlovista,28.54,-81.46,Pinellas,
Ormond Beach city,29.3,-81.09,Lee,
Ormond-by-the-Sea,29.34,-81.07,Miami-Dade,
Osprey,27.19,-82.48,Hardee,
Otter Creek town,29.32,-82.77,Miami-Dade,
Oviedo city,28.66,-81.19,Volusia,
Pace,30.62,-87.17,Clay,
Page Park,26.58,-81.86,Collier,
Pahokee city,26.82,-80.66,Indian River,
Paisley,28.99,-81.54,Santa Rosa,
Palatka city,29.65,-81.66,Orange,
Palm Bay city,27.99,-80.66,Orange,
Palm Beach Gardens city,26.85,-80.17,Volusia,
Palm Beach Shores town,26.78,-80.03,Volusia,
Palm Beach town,26.69,-80.04,Sarasota,
Palm City,27.17,-80.29,Levy,
Palm Coast city,29.54,-81.25,Seminole,
Palm Harbor,28.09,-82.76,Santa Rosa,
Palm River-Clair Mel,27.92,-82.38,Lee,
Palm Shores town,28.19,-80.66,Palm Beach,
Palm Springs North,25.94,-80.33,Lake,
Palm Springs village,26.64,-80.1,Putnam,
Palm Valley,30.2,-81.39,Brevard,
Palmetto Bay village,25.62,-80.32,Palm Beach,
Palmetto city,27.52,-82.57,Palm Beach,
Palmetto Estates,25.62,-80.36,Palm Beach,
Palmona Park,26.69,-81.89,Martin,
Panacea,30.03,-84.39,Flagler,
Panama City Beach city,30.24,-85.88,Pinellas,
Panama City city,30.2,-85.62,Hillsborough,
Paradise Heights,28.62,-81.54,Brevard,
Parker city,30.13,-85.6,Palm Beach,
Parkland city,26.32,-80.25,Miami-Dade,
Pasadena Hills,28.29,-82.24,Saint Johns,
Patrick AFB,28.23,-80.61,Manatee,
Paxton town,30.98,-86.31,Miami-Dade,
Pea Ridge,30.6,-87.1,Miami-Dade,
Pebble Creek,28.16,-82.34,Lee,
Pelican Bay,26.23,-81.81,Wakulla,
Pembroke Park town,25.99,-80.18,Bay,
Pembroke Pines city,26.01,-80.34,Bay,
Penney Farms town,29.98,-81.81,Orange,
Pensacola city,30.44,-87.19,Bay,
Perry city,30.11,-83.58,Broward,
Pierson town,29.24,-81.46,Pasco,
Pine Air,26.66,-80.11,Brevard,
Pine Castle,28.47,-81.37,Walton,
Pine Hills,28.58,-81.47,Santa Rosa,
Pine Island,28.57,-82.65,Hillsborough,
Pine Island Center,26.64,-82.13,Collier,
Pine Lakes,28.94,-81.43,Broward,
Pine Level,30.89,-87.17,Broward,
Pine Manor,26.57,-81.88,Clay,
Pine Ridge,28.93,-82.48,Escambia,
Pine Ridge,26.23,-81.8,Taylor,
Pinecrest village,25.66,-80.3,Volusia,
Pineland,26.66,-82.15,Palm Beach,
Pinellas Park city,27.86,-82.71,Orange,
Pinewood,25.87,-80.22,Orange,
Pioneer,26.73,-81.22,Hernando,
Pittman,29,-81.65,Lee,
Plant City city,28.01,-82.12,Lake,
Plantation,27.06,-82.37,Santa Rosa,
Plantation city,26.13,-80.26,Lee,
Plantation Island,25.85,-81.38,Citrus,
Plantation Mobile Home Park,26.7,-80.13,Collier,
Poinciana,28.12,-81.48,Miami-Dade,
Point Baker,30.68,-87.05,Lee,
Polk City town,28.17,-81.84,Pinellas,
Pomona Park town,29.5,-81.59,Miami-Dade,
Pompano Beach city,26.24,-80.13,Hendry,
Ponce de Leon town,30.72,-85.94,Lake,
Ponce Inlet town,29.1,-80.93,Hillsborough,
Port Charlotte,26.99,-82.11,Broward,
Port LaBelle,26.75,-81.39,Sarasota,
Port Orange city,29.11,-81.01,Collier,
Port Richey city,28.28,-82.73,Palm Beach,
Port Salerno,27.15,-80.19,Polk,
Port St. Joe city,29.82,-85.31,Osceola,
Port St. John,28.48,-80.79,Santa Rosa,
Port St. Lucie city,27.28,-80.38,Polk,
Pretty Bayou,30.2,-85.7,Putnam,
Princeton,25.54,-80.4,Broward,
Progress Village,27.88,-82.36,Holmes,
Punta Gorda city,26.9,-82.05,Volusia,
Punta Rassa,26.5,-82,Charlotte,
Quail Ridge,28.35,-82.55,Hendry,
Quincy city,30.58,-84.58,Volusia,
Raiford town,30.06,-82.24,Pasco,
Raleigh,29.45,-82.47,Gulf,
Reddick town,29.37,-82.2,Brevard,
Redington Beach town,27.81,-82.81,Saint Lucie,
Redington Shores town,27.83,-82.83,Martin,
Richmond Heights,25.63,-80.37,Bay,
Richmond West,25.61,-80.43,Miami-Dade,
Ridge Manor,28.5,-82.18,Hillsborough,
Ridge Wood Heights,27.29,-82.51,Charlotte,
Ridgecrest,27.9,-82.81,Lee,
Rio,27.22,-80.24,Pasco,
Rio Pinar,28.53,-81.26,Gadsden,
River Park,27.32,-80.33,Union,
River Ridge,28.27,-82.62,Levy,
Riverview,27.82,-82.3,Marion,
Riviera Beach city,26.78,-80.07,Pinellas,
Rockledge city,28.32,-80.73,Pinellas,
Roeville,30.68,-86.99,Miami-Dade,
Roosevelt Gardens,26.14,-80.18,Miami-Dade,
Roseland,27.84,-80.49,Hernando,
Rotonda,26.88,-82.28,Sarasota,
Royal Palm Beach village,26.7,-80.22,Pinellas,
Royal Palm Estates,26.68,-80.13,Martin,
Ruskin,27.71,-82.42,Orange,
Safety Harbor city,28.01,-82.7,Saint Lucie,
Samoset,27.48,-82.54,Pasco,
Samsula-Spruce Creek,29.05,-81.06,Hillsborough,
San Antonio city,28.34,-82.28,Palm Beach,
San Carlos Park,26.48,-81.82,Brevard,
San Castle,26.57,-80.06,Santa Rosa,
Sanford city,28.79,-81.28,Broward,
Sanibel city,26.45,-82.1,Indian River,
Sarasota city,27.34,-82.55,Charlotte,
Sarasota Springs,27.31,-82.48,Palm Beach,
Satellite Beach city,28.18,-80.6,Palm Beach,
Sawgrass,30.19,-81.37,Hillsborough,
Schall Circle,26.72,-80.11,Pinellas,
Sea Ranch Lakes village,26.2,-80.1,Saint Johns,
Sebastian city,27.79,-80.48,Saint Johns,
Sebring city,27.48,-81.45,Saint Johns,
Seffner,28,-82.27,Saint Johns,
Seminole city,27.84,-82.78,Osceola,
Seminole Manor,26.58,-80.1,Franklin,
Seville,29.34,-81.51,Lee,
Sewall's Point town,27.2,-80.2,Pasco,
Shady Hills,28.4,-82.55,Saint Lucie,
Shalimar town,30.44,-86.58,Wakulla,
Sharpes,28.44,-80.76,Pinellas,
Siesta Key,27.28,-82.55,Pinellas,
Silver Lake,28.84,-81.8,Manatee,
Silver Springs Shores,29.1,-82,Volusia,
Sky Lake,28.46,-81.39,Pasco,
Sneads town,30.71,-84.92,Lee,
Solana,26.94,-82.03,Palm Beach,
Sopchoppy city,30.06,-84.49,Seminole,
Sorrento,28.81,-81.56,Lee,
South Apopka,28.66,-81.5,Sarasota,
South Bay city,26.68,-80.73,Sarasota,
South Beach,27.59,-80.34,Brevard,
South Bradenton,27.46,-82.58,Saint Johns,
South Brooksville,28.52,-82.42,Palm Beach,
South Daytona city,29.17,-81.01,Broward,
South Gate Ridge,27.29,-82.5,Indian River,
South Highpoint,27.91,-82.72,Highlands,
South Miami city,25.71,-80.3,Hillsborough,
South Miami Heights,25.59,-80.39,Pinellas,
South Palm Beach town,26.59,-80.04,Palm Beach,
South Pasadena city,27.75,-82.74,Volusia,
South Patrick Shores,28.2,-80.61,Martin,
South Sarasota,27.29,-82.53,Pasco,
South Venice,27.04,-82.42,Okaloosa,
Southchase,28.38,-81.39,Brevard,
Southeast Arcadia,27.19,-81.85,Sarasota,
Southgate,27.31,-82.51,Lake,
Southwest Ranches town,26.05,-80.38,Marion,
Spring Hill,28.48,-82.53,Orange,
Spring Lake,28.5,-82.3,Jackson,
Spring Ridge,29.82,-82.72,Charlotte,
Springfield city,30.17,-85.61,Wakulla,
Springhill,30.76,-86.93,Lake,
St. Augustine Beach city,29.84,-81.27,Orange,
St. Augustine city,29.9,-81.31,Palm Beach,
St. Augustine Shores,29.8,-81.31,Indian River,
St. Augustine South,29.84,-81.32,Manatee,
St. Cloud city,28.23,-81.29,Hernando,
St. James City,26.55,-82.1,Volusia,
St. Leo town,28.34,-82.26,Sarasota,
St. Lucie Village town,27.5,-80.34,Pinellas,
St. Marks city,30.17,-84.21,Miami-Dade,
St. Pete Beach city,27.71,-82.76,Miami-Dade,
St. Petersburg city,27.76,-82.64,Palm Beach,
Stacey Street,26.7,-80.12,Pinellas,
Starke city,29.95,-82.11,Brevard,
Steinhatchee,29.68,-83.38,Sarasota,
Stock Island,24.57,-81.73,Sarasota,
Stuart city,27.2,-80.24,Orange,
Sugarmill Woods,28.73,-82.5,Osceola,
Sumatra,30.02,-84.98,Desoto,
Sun City Center,27.71,-82.36,Sarasota,
Suncoast Estates,26.71,-81.87,Orange,
Sunny Isles Beach city,25.94,-80.12,Broward,
Sunrise city,26.15,-80.3,Hernando,
Sunset,25.71,-80.35,Hernando,
Surfside town,25.88,-80.12,Gilchrist,
Sweetwater city,25.77,-80.37,Bay,
Taft,28.43,-81.37,Santa Rosa,
Tallahassee city,30.45,-84.25,Palm Beach,
Tamarac city,26.21,-80.25,Bradford,
Tamiami,25.76,-80.4,Taylor,
Tampa city,27.97,-82.48,Monroe,
Tangelo Park,28.46,-81.45,Martin,
Tangerine,28.76,-81.63,Citrus,
Tarpon Springs city,28.15,-82.78,Liberty,
Tavares city,28.8,-81.74,Hillsborough,
Tavernier,25.02,-80.51,Lee,
Taylor Creek,27.22,-80.79,Miami-Dade,
Temple Terrace city,28.04,-82.38,Broward,
Tequesta village,26.96,-80.1,Miami-Dade,
The Acreage,26.77,-80.28,Miami-Dade,
The Crossings,25.67,-80.4,Miami-Dade,
The Hammocks,25.67,-80.45,Orange,
The Meadows,27.37,-82.47,Leon,
The Villages,28.9,-81.99,Broward,
Thonotosassa,28.05,-82.29,Miami-Dade,
Three Lakes,25.64,-80.4,Hillsborough,
Three Oaks,26.47,-81.8,Orange,
Tice,26.68,-81.82,Orange,
Tierra Verde,27.67,-82.73,Pinellas,
Tiger Point,30.38,-87.06,Lake,
Tildenville,28.54,-81.6,Monroe,
Timber Pines,28.47,-82.6,Okeechobee,
Titusville city,28.57,-80.82,Hillsborough,
Town 'n' Country,28.01,-82.58,Palm Beach,
Treasure Island city,27.77,-82.77,Palm Beach,
Trenton city,29.61,-82.81,Miami-Dade,
Trilby,28.46,-82.19,Miami-Dade,
Trinity,28.18,-82.66,Sarasota,
Tyndall AFB,30.09,-85.61,Marion,
Umatilla city,28.93,-81.67,Sumter,
Union Park,28.57,-81.24,Hillsborough,
University,28.08,-82.43,Miami-Dade,
University,28.59,-81.2,Lee,
University Park,25.75,-80.37,Lee,
Upper Grand Lagoon,30.17,-85.74,Pinellas,
Valparaiso city,30.49,-86.51,Santa Rosa,
Valrico,27.92,-82.23,Orange,
Vamo,27.23,-82.49,Hernando,
Venice city,27.12,-82.41,Brevard,
Venice Gardens,27.07,-82.41,Hillsborough,
Vernon city,30.62,-85.71,Pinellas,
Vero Beach city,27.65,-80.39,Gilchrist,
Vero Beach South,27.62,-80.41,Pasco,
Verona Walk,26.08,-81.68,Pasco,
Viera East,28.26,-80.71,Bay,
Viera West,28.24,-80.74,Lake,
Villano Beach,29.94,-81.3,Orange,
Villas,26.55,-81.87,Hillsborough,
Vineyards,26.23,-81.73,Orange,
Virginia Gardens village,25.81,-80.3,Miami-Dade,
Wabasso Beach,27.76,-80.4,Bay,
Wabasso,27.75,-80.44,Okaloosa,
Wacissa,30.36,-83.99,Hillsborough,
Wahneta,27.96,-81.73,Sarasota,
Waldo city,29.79,-82.17,Sarasota,
Wallace,30.67,-87.2,Sarasota,
Warm Mineral Springs,27.05,-82.27,Washington,
Warrington,30.38,-87.29,Indian River,
Washington Park,26.13,-80.18,Indian River,
Watergate,26.34,-80.21,Collier,
Watertown,30.19,-82.6,Brevard,
Wauchula city,27.55,-81.81,Brevard,
Waukeenah,30.4,-83.96,Saint Johns,
Wausau town,30.63,-85.59,Lee,
Waverly,27.98,-81.62,Collier,
Webster city,28.61,-82.05,Miami-Dade,
Wedgefield,28.48,-81.08,Indian River,
Weeki Wachee city,28.52,-82.58,Indian River,
Weeki Wachee Gardens,28.54,-82.62,Jefferson,
Wekiwa Springs,28.7,-81.42,Polk,
Welaka town,29.48,-81.67,Alachua,
Wellington village,26.65,-80.27,Santa Rosa,
Wesley Chapel,28.21,-82.32,Sarasota,
West Bradenton,27.5,-82.61,Escambia,
West DeLand,29.02,-81.33,Broward,
West Lealman,27.82,-82.74,Palm Beach,
West Little River,25.86,-80.24,Columbia,
West Melbourne city,28.07,-80.67,Hardee,
West Miami city,25.76,-80.3,Jefferson,
West Palm Beach city,26.75,-80.13,Washington,
West Park city,25.98,-80.19,Polk,
West Pensacola,30.43,-87.27,Sumter,
West Perrine,25.61,-80.36,Orange,
West Samoset,27.47,-82.56,Hernando,
West Vero Corridor,27.64,-80.49,Hernando,
Westchase,28.06,-82.61,Seminole,
Westchester,25.75,-80.34,Putnam,
Westgate,26.7,-80.1,Palm Beach,
Weston city,26.1,-80.41,Pasco,
Westview,25.88,-80.24,Manatee,
Westville town,30.77,-85.85,Volusia,
Westwood Lakes,25.72,-80.37,Pinellas,
Wewahitchka city,30.12,-85.19,Miami-Dade,
Whiskey Creek,26.57,-81.89,Brevard,
White City,27.37,-80.34,Miami-Dade,
White Springs town,30.33,-82.76,Palm Beach,
Whitfield,27.41,-82.57,Broward,
Wildwood city,28.8,-82,Escambia,
Williamsburg,28.4,-81.45,Miami-Dade,
Williston city,29.37,-82.46,Manatee,
Williston Highlands,29.33,-82.54,Indian River,
Willow Oak,27.92,-82.02,Hillsborough,
Wilton Manors city,26.16,-80.14,Miami-Dade,
Wimauma,27.7,-82.3,Palm Beach,
Windermere town,28.5,-81.54,Palm Beach,
Windsor,27.79,-80.41,Broward,
Winter Beach,27.71,-80.43,Miami-Dade,
Winter Garden city,28.54,-81.59,Holmes,
Winter Haven city,28.01,-81.7,Miami-Dade,
Winter Park city,28.6,-81.34,Gulf,
Winter Springs city,28.69,-81.27,Lee,
Wiscon,28.54,-82.47,Saint Lucie,
Woodlawn Beach,30.39,-86.99,Hamilton,
Woodville,30.31,-84.26,Manatee,
World Golf Village,29.97,-81.49,Santa Rosa,
Worthington Springs town,29.93,-82.42,Sumter,
Wright,30.44,-86.64,Orange,
Yalaha,28.75,-81.82,Levy,
Yankeetown town,29.03,-82.76,Levy,
Yeehaw Junction,27.7,-80.89,Polk,
Yulee,30.64,-81.57,Broward,
Zellwood,28.73,-81.59,Hillsborough,
Zephyrhills city,28.24,-82.18,Orange,
Zephyrhills North,28.25,-82.17,Indian River,
Zephyrhills South,28.21,-82.19,Indian River,
Zephyrhills West,28.23,-82.21,Orange,
Zolfo Springs town,27.49,-81.79,Polk,
,,,Orange,
,,,Seminole,
,,,Hernando,
,,,Santa Rosa,
,,,Leon,
,,,Union,
,,,Saint Johns,
,,,Okaloosa,
,,,Lake,
,,,Levy,
,,,Osceola,
,,,Nassau,
,,,Martin,
,,,Pasco,
,,,Pasco,
,,,Pasco,
,,,Pasco,
,,,Hardee,
